sequence,cluster,genome
GCF_002734945.1_prophage_6,16,GCF_002734945.1
GCF_002735185.1_prophage_2,16,GCF_002735185.1
GCF_002741195.1_prophage_1,1,GCF_002741195.1
GCF_002741195.1_prophage_7,20,GCF_002741195.1
GCF_002741595.1_prophage_6,1,GCF_002741595.1
GCF_002761685.1_prophage_4,1,GCF_002761685.1
GCF_002761695.1_prophage_4,2,GCF_002761695.1
GCF_002764255.1_prophage_6,6,GCF_002764255.1
GCF_002764435.1_prophage_2,3,GCF_002764435.1
GCF_002764595.1_prophage_5,20,GCF_002764595.1
GCF_002764635.1_prophage_1,10,GCF_002764635.1
GCF_002764995.1_prophage_8,12,GCF_002764995.1
GCF_002765055.1_prophage_4,12,GCF_002765055.1
GCF_002765095.1_prophage_11,11,GCF_002765095.1
GCF_002765155.1_prophage_5,12,GCF_002765155.1
GCF_002765235.1_prophage_6,15,GCF_002765235.1
GCF_002765275.1_prophage_1,16,GCF_002765275.1
GCF_002765295.1_prophage_6,12,GCF_002765295.1
GCF_002765315.1_prophage_6,17,GCF_002765315.1
GCF_002765375.1_prophage_5,11,GCF_002765375.1
GCF_002765415.1_prophage_3,17,GCF_002765415.1
GCF_002765475.1_prophage_4,11,GCF_002765475.1
GCF_002765695.1_prophage_1,11,GCF_002765695.1
GCF_002765795.1_prophage_5,16,GCF_002765795.1
GCF_002765955.1_prophage_1,15,GCF_002765955.1
GCF_002765955.1_prophage_2,10,GCF_002765955.1
GCF_002766055.1_prophage_1,10,GCF_002766055.1
GCF_002766075.1_prophage_2,10,GCF_002766075.1
GCF_002766075.1_prophage_5,12,GCF_002766075.1
GCF_002766215.1_prophage_4,11,GCF_002766215.1
GCF_002766235.1_prophage_2,10,GCF_002766235.1
GCF_002766275.1_prophage_5,7,GCF_002766275.1
GCF_002766335.1_prophage_3,2,GCF_002766335.1
GCF_002766375.1_prophage_13,17,GCF_002766375.1
GCF_002766375.1_prophage_5,2,GCF_002766375.1
GCF_002766435.1_prophage_9,15,GCF_002766435.1
GCF_002766455.1_prophage_6,11,GCF_002766455.1
GCF_002766635.1_prophage_3,12,GCF_002766635.1
GCF_002766695.1_prophage_9,3,GCF_002766695.1
GCF_002766775.1_prophage_8,15,GCF_002766775.1
GCF_002766835.1_prophage_5,16,GCF_002766835.1
GCF_002767095.1_prophage_10,12,GCF_002767095.1
GCF_002767095.1_prophage_5,10,GCF_002767095.1
GCF_002768015.1_prophage_5,11,GCF_002768015.1
GCF_002768195.1_prophage_7,7,GCF_002768195.1
GCF_002768415.1_prophage_6,20,GCF_002768415.1
GCF_002768445.1_prophage_8,15,GCF_002768445.1
GCF_002768555.1_prophage_6,15,GCF_002768555.1
GCF_002768575.1_prophage_4,12,GCF_002768575.1
GCF_002768615.1_prophage_8,15,GCF_002768615.1
GCF_002768655.1_prophage_8,12,GCF_002768655.1
GCF_002768695.1_prophage_1,10,GCF_002768695.1
GCF_002768835.1_prophage_2,15,GCF_002768835.1
GCF_002768855.1_prophage_1,12,GCF_002768855.1
GCF_002768915.1_prophage_1,20,GCF_002768915.1
GCF_002768975.1_prophage_1,10,GCF_002768975.1
GCF_002769075.1_prophage_9,9,GCF_002769075.1
GCF_002769155.1_prophage_5,10,GCF_002769155.1
GCF_002769155.1_prophage_6,2,GCF_002769155.1
GCF_002769195.1_prophage_5,16,GCF_002769195.1
GCF_002769235.1_prophage_7,3,GCF_002769235.1
GCF_002769255.1_prophage_1,7,GCF_002769255.1
GCF_002769335.1_prophage_2,11,GCF_002769335.1
GCF_002769375.1_prophage_1,16,GCF_002769375.1
GCF_002769495.1_prophage_5,11,GCF_002769495.1
GCF_002769635.1_prophage_4,17,GCF_002769635.1
GCF_002769715.1_prophage_3,15,GCF_002769715.1
GCF_002769975.1_prophage_7,16,GCF_002769975.1
GCF_002770015.1_prophage_1,16,GCF_002770015.1
GCF_002770235.1_prophage_3,10,GCF_002770235.1
GCF_002770375.1_prophage_2,7,GCF_002770375.1
GCF_002770395.1_prophage_4,12,GCF_002770395.1
GCF_002770515.1_prophage_4,2,GCF_002770515.1
GCF_002787545.1_prophage_2,2,GCF_002787545.1
GCF_002794845.1_prophage_1,13,GCF_002794845.1
GCF_002794895.1_prophage_4,8,GCF_002794895.1
GCF_002795085.1_prophage_2,15,GCF_002795085.1
GCF_002797075.1_prophage_4,13,GCF_002797075.1
GCF_002806745.1_prophage_4,2,GCF_002806745.1
GCF_002806795.1_prophage_10,2,GCF_002806795.1
GCF_002806825.1_prophage_4,2,GCF_002806825.1
GCF_002809865.1_prophage_3,1,GCF_002809865.1
GCF_002809905.1_prophage_2,10,GCF_002809905.1
GCF_002809905.1_prophage_3,7,GCF_002809905.1
GCF_002810025.1_prophage_1,18,GCF_002810025.1
GCF_002810165.1_prophage_3,14,GCF_002810165.1
GCF_002810185.1_prophage_1,16,GCF_002810185.1
GCF_002812685.2_prophage_3,11,GCF_002812685.2
GCF_002834305.1_prophage_3,4,GCF_002834305.1
GCF_002835165.1_prophage_2,3,GCF_002835165.1
GCF_002837435.1_prophage_1,12,GCF_002837435.1
GCF_002844475.1_prophage_4,10,GCF_002844475.1
GCF_002848325.1_prophage_3,12,GCF_002848325.1
GCF_002853655.1_prophage_1,12,GCF_002853655.1
GCF_002853715.1_prophage_5,13,GCF_002853715.1
GCF_002853805.1_prophage_2,2,GCF_002853805.1
GCF_002854065.1_prophage_1,9,GCF_002854065.1
GCF_002855325.1_prophage_5,2,GCF_002855325.1
GCF_002855615.1_prophage_1,15,GCF_002855615.1
GCF_002855655.1_prophage_4,20,GCF_002855655.1
GCF_002855695.1_prophage_4,10,GCF_002855695.1
GCF_002855735.1_prophage_1,16,GCF_002855735.1
GCF_002863685.1_prophage_14,2,GCF_002863685.1
GCF_002863685.1_prophage_16,15,GCF_002863685.1
GCF_002863685.1_prophage_18,14,GCF_002863685.1
GCF_002863885.1_prophage_1,16,GCF_002863885.1
GCF_002863885.1_prophage_10,2,GCF_002863885.1
GCF_002863885.1_prophage_2,20,GCF_002863885.1
GCF_002872175.1_prophage_5,14,GCF_002872175.1
GCF_002885775.1_prophage_5,4,GCF_002885775.1
GCF_002886325.1_prophage_1,18,GCF_002886325.1
GCF_002886325.1_prophage_3,3,GCF_002886325.1
GCF_002886475.1_prophage_4,20,GCF_002886475.1
GCF_002886755.1_prophage_4,12,GCF_002886755.1
GCF_002887005.1_prophage_5,2,GCF_002887005.1
GCF_002895365.1_prophage_2,1,GCF_002895365.1
GCF_002899535.1_prophage_3,4,GCF_002899535.1
GCF_002901325.1_prophage_1,15,GCF_002901325.1
GCF_002911215.1_prophage_3,10,GCF_002911215.1
GCF_002915085.1_prophage_2,1,GCF_002915085.1
GCF_002917315.1_prophage_2,18,GCF_002917315.1
GCF_002917535.1_prophage_4,18,GCF_002917535.1
GCF_002917705.1_prophage_2,20,GCF_002917705.1
GCF_002918265.1_prophage_3,4,GCF_002918265.1
GCF_002918355.1_prophage_2,13,GCF_002918355.1
GCF_002923415.1_prophage_1,3,GCF_002923415.1
GCF_002923675.1_prophage_6,12,GCF_002923675.1
GCF_002923895.1_prophage_4,7,GCF_002923895.1
GCF_002924065.1_prophage_1,10,GCF_002924065.1
GCF_002924125.1_prophage_7,15,GCF_002924125.1
GCF_002924165.1_prophage_3,10,GCF_002924165.1
GCF_002924205.1_prophage_3,16,GCF_002924205.1
GCF_002925525.1_prophage_5,1,GCF_002925525.1
GCF_002927715.1_prophage_3,10,GCF_002927715.1
GCF_002927735.1_prophage_1,1,GCF_002927735.1
GCF_002927755.1_prophage_1,20,GCF_002927755.1
GCF_002930245.1_prophage_2,2,GCF_002930245.1
GCF_002930405.1_prophage_1,11,GCF_002930405.1
GCF_002930735.1_prophage_1,10,GCF_002930735.1
GCF_002941185.1_prophage_2,8,GCF_002941185.1
GCF_002941285.1_prophage_4,16,GCF_002941285.1
GCF_002941425.1_prophage_2,5,GCF_002941425.1
GCF_002941445.1_prophage_1,16,GCF_002941445.1
GCF_002941445.1_prophage_6,1,GCF_002941445.1
GCF_002941525.1_prophage_1,20,GCF_002941525.1
GCF_002941565.1_prophage_1,12,GCF_002941565.1
GCF_002941605.1_prophage_3,13,GCF_002941605.1
GCF_002941605.1_prophage_8,11,GCF_002941605.1
GCF_002941905.1_prophage_3,1,GCF_002941905.1
GCF_002942485.1_prophage_2,8,GCF_002942485.1
GCF_002942505.1_prophage_4,5,GCF_002942505.1
GCF_002942625.1_prophage_1,17,GCF_002942625.1
GCF_002942665.1_prophage_5,14,GCF_002942665.1
GCF_002942705.1_prophage_3,1,GCF_002942705.1
GCF_002942805.1_prophage_6,14,GCF_002942805.1
GCF_002943145.1_prophage_1,20,GCF_002943145.1
GCF_002943285.1_prophage_3,17,GCF_002943285.1
GCF_002951675.1_prophage_7,16,GCF_002951675.1
GCF_002951735.1_prophage_2,20,GCF_002951735.1
GCF_002951755.1_prophage_9,1,GCF_002951755.1
GCF_002952695.1_prophage_1,8,GCF_002952695.1
GCF_002952955.1_prophage_2,7,GCF_002952955.1
GCF_002952995.1_prophage_3,4,GCF_002952995.1
GCF_002953095.1_prophage_2,7,GCF_002953095.1
GCF_002959225.1_prophage_1,3,GCF_002959225.1
GCF_002959275.1_prophage_2,3,GCF_002959275.1
GCF_002959355.1_prophage_7,5,GCF_002959355.1
GCF_002966145.1_prophage_3,7,GCF_002966145.1
GCF_002967885.2_prophage_6,9,GCF_002967885.2
GCF_002971045.1_prophage_3,8,GCF_002971045.1
GCF_002971195.1_prophage_2,2,GCF_002971195.1
GCF_002971215.1_prophage_3,15,GCF_002971215.1
GCF_002971585.1_prophage_1,20,GCF_002971585.1
GCF_002972075.1_prophage_6,1,GCF_002972075.1
GCF_002972215.1_prophage_1,10,GCF_002972215.1
GCF_002972255.1_prophage_1,12,GCF_002972255.1
GCF_002972435.1_prophage_1,9,GCF_002972435.1
GCF_002972535.1_prophage_8,15,GCF_002972535.1
GCF_002972595.1_prophage_3,20,GCF_002972595.1
GCF_002972665.1_prophage_4,9,GCF_002972665.1
GCF_002972695.1_prophage_3,1,GCF_002972695.1
GCF_002972775.1_prophage_1,5,GCF_002972775.1
GCF_002972795.1_prophage_1,20,GCF_002972795.1
GCF_002972955.1_prophage_5,20,GCF_002972955.1
GCF_002972955.1_prophage_7,11,GCF_002972955.1
GCF_002973195.1_prophage_3,20,GCF_002973195.1
GCF_002973475.1_prophage_1,1,GCF_002973475.1
GCF_002979635.1_prophage_2,3,GCF_002979635.1
GCF_002991735.1_prophage_5,4,GCF_002991735.1
GCF_002991825.1_prophage_3,12,GCF_002991825.1
GCF_002991885.1_prophage_5,9,GCF_002991885.1
GCF_002991895.1_prophage_1,1,GCF_002991895.1
GCF_002991925.1_prophage_4,15,GCF_002991925.1
GCF_002991965.1_prophage_3,2,GCF_002991965.1
GCF_002993515.1_prophage_2,8,GCF_002993515.1
GCF_002994975.1_prophage_2,11,GCF_002994975.1
GCF_003007855.1_prophage_1,3,GCF_003007855.1
GCF_003007935.1_prophage_3,5,GCF_003007935.1
GCF_003008935.1_prophage_4,2,GCF_003008935.1
GCF_003009035.1_prophage_1,8,GCF_003009035.1
GCF_003009205.1_prophage_2,9,GCF_003009205.1
GCF_003009205.1_prophage_6,16,GCF_003009205.1
GCF_003009315.1_prophage_2,13,GCF_003009315.1
GCF_003009715.1_prophage_1,14,GCF_003009715.1
GCF_003009875.1_prophage_2,9,GCF_003009875.1
GCF_003009995.1_prophage_4,11,GCF_003009995.1
GCF_003010075.1_prophage_3,1,GCF_003010075.1
GCF_003010285.1_prophage_4,18,GCF_003010285.1
GCF_003014805.1_prophage_2,13,GCF_003014805.1
GCF_003014845.1_prophage_1,10,GCF_003014845.1
GCF_003015075.1_prophage_1,10,GCF_003015075.1
GCF_003015075.1_prophage_4,4,GCF_003015075.1
GCF_003015325.1_prophage_13,12,GCF_003015325.1
GCF_003015325.1_prophage_3,3,GCF_003015325.1
GCF_003017455.1_prophage_16,17,GCF_003017455.1
GCF_003017555.1_prophage_15,2,GCF_003017555.1
GCF_003017675.2_prophage_14,20,GCF_003017675.2
GCF_003017765.1_prophage_4,2,GCF_003017765.1
GCF_003017765.1_prophage_9,15,GCF_003017765.1
GCF_003017975.1_prophage_1,1,GCF_003017975.1
GCF_003017995.1_prophage_1,1,GCF_003017995.1
GCF_003018055.1_prophage_1,4,GCF_003018055.1
GCF_003018055.1_prophage_5,2,GCF_003018055.1
GCF_003018135.1_prophage_15,2,GCF_003018135.1
GCF_003018215.1_prophage_5,2,GCF_003018215.1
GCF_003018315.1_prophage_3,4,GCF_003018315.1
GCF_003018355.1_prophage_4,16,GCF_003018355.1
GCF_003018375.1_prophage_13,1,GCF_003018375.1
GCF_003018535.1_prophage_19,17,GCF_003018535.1
GCF_003018575.1_prophage_11,2,GCF_003018575.1
GCF_003018635.1_prophage_11,7,GCF_003018635.1
GCF_003018635.1_prophage_6,2,GCF_003018635.1
GCF_003018775.1_prophage_8,2,GCF_003018775.1
GCF_003018795.1_prophage_12,12,GCF_003018795.1
GCF_003018795.1_prophage_7,2,GCF_003018795.1
GCF_003018835.2_prophage_11,1,GCF_003018835.2
GCF_003018875.1_prophage_3,12,GCF_003018875.1
GCF_003018895.1_prophage_14,2,GCF_003018895.1
GCF_003018915.1_prophage_10,1,GCF_003018915.1
GCF_003018915.1_prophage_2,2,GCF_003018915.1
GCF_003019055.1_prophage_7,3,GCF_003019055.1
GCF_003019075.1_prophage_12,20,GCF_003019075.1
GCF_003019075.1_prophage_14,2,GCF_003019075.1
GCF_003019155.1_prophage_11,1,GCF_003019155.1
GCF_003019155.1_prophage_13,13,GCF_003019155.1
GCF_003019215.1_prophage_1,1,GCF_003019215.1
GCF_003024375.1_prophage_1,3,GCF_003024375.1
GCF_003027215.1_prophage_3,13,GCF_003027215.1
GCF_003027335.1_prophage_3,16,GCF_003027335.1
GCF_003027495.1_prophage_4,2,GCF_003027495.1
GCF_003027555.1_prophage_8,16,GCF_003027555.1
GCF_003028075.1_prophage_1,12,GCF_003028075.1
GCF_003028205.1_prophage_3,20,GCF_003028205.1
GCF_003028815.1_prophage_1,13,GCF_003028815.1
GCF_003030245.1_prophage_1,10,GCF_003030245.1
GCF_003048105.1_prophage_1,10,GCF_003048105.1
GCF_003052645.1_prophage_6,7,GCF_003052645.1
GCF_003060125.1_prophage_7,7,GCF_003060125.1
GCF_003072445.1_prophage_7,1,GCF_003072445.1
GCF_003074475.1_prophage_7,2,GCF_003074475.1
GCF_003074495.1_prophage_6,10,GCF_003074495.1
GCF_003076155.1_prophage_3,20,GCF_003076155.1
GCF_003076195.1_prophage_5,20,GCF_003076195.1
GCF_003076255.1_prophage_1,14,GCF_003076255.1
GCF_003076675.1_prophage_1,19,GCF_003076675.1
GCF_003112185.1_prophage_1,1,GCF_003112185.1
GCF_003112185.1_prophage_11,15,GCF_003112185.1
GCF_003112185.1_prophage_7,3,GCF_003112185.1
GCF_003112205.1_prophage_3,2,GCF_003112205.1
GCF_003112225.1_prophage_5,2,GCF_003112225.1
GCF_003112245.1_prophage_11,2,GCF_003112245.1
GCF_003113135.1_prophage_8,11,GCF_003113135.1
GCF_003113515.1_prophage_4,12,GCF_003113515.1
GCF_003113535.1_prophage_6,3,GCF_003113535.1
GCF_003113635.1_prophage_4,16,GCF_003113635.1
GCF_003113675.1_prophage_5,12,GCF_003113675.1
GCF_003113715.1_prophage_1,16,GCF_003113715.1
GCF_003113795.1_prophage_1,12,GCF_003113795.1
GCF_003114975.2_prophage_2,20,GCF_003114975.2
GCF_003122965.2_prophage_2,12,GCF_003122965.2
GCF_003122965.2_prophage_5,20,GCF_003122965.2
GCF_003123055.1_prophage_6,9,GCF_003123055.1
GCF_003123115.1_prophage_8,20,GCF_003123115.1
GCF_003123165.2_prophage_1,10,GCF_003123165.2
GCF_003123235.2_prophage_5,20,GCF_003123235.2
GCF_003123235.2_prophage_9,16,GCF_003123235.2
GCF_003123415.1_prophage_1,7,GCF_003123415.1
GCF_003123495.2_prophage_4,20,GCF_003123495.2
GCF_003123505.1_prophage_13,2,GCF_003123505.1
GCF_003123525.1_prophage_3,20,GCF_003123525.1
GCF_003123565.2_prophage_5,7,GCF_003123565.2
GCF_003143575.1_prophage_4,1,GCF_003143575.1
GCF_003144955.1_prophage_4,14,GCF_003144955.1
GCF_003145275.1_prophage_6,5,GCF_003145275.1
GCF_003145355.1_prophage_2,1,GCF_003145355.1
GCF_003145725.1_prophage_5,15,GCF_003145725.1
GCF_003145835.1_prophage_4,10,GCF_003145835.1
GCF_003145875.1_prophage_1,4,GCF_003145875.1
GCF_003145895.1_prophage_1,13,GCF_003145895.1
GCF_003145975.1_prophage_6,1,GCF_003145975.1
GCF_003146175.1_prophage_2,10,GCF_003146175.1
GCF_003146255.1_prophage_9,12,GCF_003146255.1
GCF_003146295.1_prophage_8,17,GCF_003146295.1
GCF_003146525.1_prophage_5,14,GCF_003146525.1
GCF_003172225.1_prophage_4,10,GCF_003172225.1
GCF_003172275.1_prophage_4,7,GCF_003172275.1
GCF_003172335.1_prophage_2,12,GCF_003172335.1
GCF_003172575.1_prophage_3,7,GCF_003172575.1
GCF_003172715.1_prophage_2,7,GCF_003172715.1
GCF_003173235.1_prophage_7,1,GCF_003173235.1
GCF_003176215.1_prophage_1,10,GCF_003176215.1
GCF_003176455.1_prophage_2,1,GCF_003176455.1
GCF_003194125.1_prophage_1,13,GCF_003194125.1
GCF_003203755.1_prophage_14,2,GCF_003203755.1
GCF_003243605.1_prophage_3,13,GCF_003243605.1
GCF_003243635.1_prophage_6,3,GCF_003243635.1
GCF_003243655.1_prophage_3,13,GCF_003243655.1
GCF_003255115.1_prophage_5,15,GCF_003255115.1
GCF_003255255.1_prophage_2,16,GCF_003255255.1
GCF_003255275.1_prophage_11,12,GCF_003255275.1
GCF_003255275.1_prophage_3,15,GCF_003255275.1
GCF_003255325.1_prophage_5,15,GCF_003255325.1
GCF_003255355.1_prophage_9,7,GCF_003255355.1
GCF_003255505.1_prophage_4,15,GCF_003255505.1
GCF_003255545.1_prophage_6,12,GCF_003255545.1
GCF_003255545.1_prophage_9,2,GCF_003255545.1
GCF_003255555.1_prophage_3,12,GCF_003255555.1
GCF_003255655.1_prophage_8,12,GCF_003255655.1
GCF_003255705.1_prophage_5,12,GCF_003255705.1
GCF_003255705.1_prophage_8,10,GCF_003255705.1
GCF_003268695.1_prophage_2,3,GCF_003268695.1
GCF_003288755.1_prophage_4,2,GCF_003288755.1
GCF_003290595.1_prophage_1,4,GCF_003290595.1
GCF_003290615.1_prophage_2,20,GCF_003290615.1
GCF_003290625.1_prophage_2,20,GCF_003290625.1
GCF_003290675.1_prophage_3,7,GCF_003290675.1
GCF_003290695.1_prophage_1,14,GCF_003290695.1
GCF_003290845.1_prophage_5,4,GCF_003290845.1
GCF_003290875.1_prophage_5,4,GCF_003290875.1
GCF_003291075.1_prophage_1,9,GCF_003291075.1
GCF_003291105.1_prophage_3,17,GCF_003291105.1
GCF_003291175.1_prophage_2,2,GCF_003291175.1
GCF_003291315.1_prophage_2,2,GCF_003291315.1
GCF_003291365.1_prophage_6,1,GCF_003291365.1
GCF_003291425.1_prophage_1,1,GCF_003291425.1
GCF_003291505.1_prophage_4,3,GCF_003291505.1
GCF_003291875.1_prophage_2,5,GCF_003291875.1
GCF_003291875.1_prophage_3,20,GCF_003291875.1
GCF_003291935.1_prophage_5,3,GCF_003291935.1
GCF_003291995.1_prophage_4,14,GCF_003291995.1
GCF_003292315.1_prophage_6,5,GCF_003292315.1
GCF_003292485.1_prophage_2,2,GCF_003292485.1
GCF_003292515.1_prophage_1,13,GCF_003292515.1
GCF_003292535.1_prophage_2,14,GCF_003292535.1
GCF_003292595.1_prophage_3,17,GCF_003292595.1
GCF_003292855.1_prophage_1,7,GCF_003292855.1
GCF_003293065.1_prophage_1,1,GCF_003293065.1
GCF_003293115.1_prophage_9,14,GCF_003293115.1
GCF_003293145.1_prophage_2,1,GCF_003293145.1
GCF_003293315.1_prophage_3,1,GCF_003293315.1
GCF_003293485.1_prophage_6,8,GCF_003293485.1
GCF_003297735.1_prophage_2,18,GCF_003297735.1
GCF_003297955.1_prophage_1,11,GCF_003297955.1
GCF_003298085.1_prophage_1,11,GCF_003298085.1
GCF_003298475.1_prophage_4,12,GCF_003298475.1
GCF_003298615.1_prophage_3,18,GCF_003298615.1
GCF_003298705.1_prophage_6,4,GCF_003298705.1
GCF_003298885.1_prophage_3,3,GCF_003298885.1
GCF_003299005.1_prophage_4,1,GCF_003299005.1
GCF_003299375.1_prophage_2,18,GCF_003299375.1
GCF_003299405.1_prophage_7,20,GCF_003299405.1
GCF_003299455.1_prophage_2,14,GCF_003299455.1
GCF_003299605.1_prophage_4,20,GCF_003299605.1
GCF_003299705.1_prophage_6,1,GCF_003299705.1
GCF_003299725.1_prophage_8,19,GCF_003299725.1
GCF_003300035.1_prophage_2,15,GCF_003300035.1
GCF_003300195.1_prophage_3,8,GCF_003300195.1
GCF_003300245.1_prophage_6,5,GCF_003300245.1
GCF_003300795.1_prophage_4,12,GCF_003300795.1
GCF_003300865.1_prophage_3,10,GCF_003300865.1
GCF_003301045.1_prophage_4,11,GCF_003301045.1
GCF_003301915.1_prophage_3,10,GCF_003301915.1
GCF_003301965.1_prophage_1,19,GCF_003301965.1
GCF_003301995.1_prophage_2,20,GCF_003301995.1
GCF_003302005.1_prophage_4,9,GCF_003302005.1
GCF_003302125.1_prophage_5,1,GCF_003302125.1
GCF_003302245.1_prophage_2,17,GCF_003302245.1
GCF_003302315.1_prophage_1,13,GCF_003302315.1
GCF_003302435.1_prophage_1,8,GCF_003302435.1
GCF_003302545.1_prophage_3,12,GCF_003302545.1
GCF_003302635.1_prophage_7,9,GCF_003302635.1
GCF_003302665.1_prophage_9,2,GCF_003302665.1
GCF_003302735.1_prophage_6,1,GCF_003302735.1
GCF_003302805.1_prophage_1,8,GCF_003302805.1
GCF_003302895.1_prophage_6,17,GCF_003302895.1
GCF_003303065.1_prophage_7,2,GCF_003303065.1
GCF_003303135.1_prophage_1,3,GCF_003303135.1
GCF_003303255.1_prophage_2,20,GCF_003303255.1
GCF_003303735.1_prophage_4,19,GCF_003303735.1
GCF_003303915.1_prophage_1,14,GCF_003303915.1
GCF_003303975.1_prophage_2,13,GCF_003303975.1
GCF_003303985.1_prophage_2,2,GCF_003303985.1
GCF_003303985.1_prophage_3,14,GCF_003303985.1
GCF_003304085.1_prophage_1,8,GCF_003304085.1
GCF_003304155.1_prophage_1,1,GCF_003304155.1
GCF_003304205.1_prophage_1,13,GCF_003304205.1
GCF_003304485.1_prophage_9,14,GCF_003304485.1
GCF_003304655.1_prophage_3,3,GCF_003304655.1
GCF_003304715.1_prophage_5,20,GCF_003304715.1
GCF_003304725.1_prophage_2,8,GCF_003304725.1
GCF_003304755.1_prophage_1,1,GCF_003304755.1
GCF_003305065.1_prophage_2,19,GCF_003305065.1
GCF_003305215.1_prophage_5,19,GCF_003305215.1
GCF_003305215.1_prophage_6,19,GCF_003305215.1
GCF_003305395.1_prophage_5,19,GCF_003305395.1
GCF_003305635.1_prophage_3,1,GCF_003305635.1
GCF_003305655.1_prophage_4,18,GCF_003305655.1
GCF_003305815.1_prophage_3,19,GCF_003305815.1
GCF_003306695.1_prophage_4,15,GCF_003306695.1
GCF_003306695.1_prophage_6,6,GCF_003306695.1
GCF_003306835.1_prophage_1,15,GCF_003306835.1
GCF_003306955.1_prophage_7,10,GCF_003306955.1
GCF_003307115.1_prophage_8,16,GCF_003307115.1
GCF_003307235.1_prophage_1,1,GCF_003307235.1
GCF_003317105.1_prophage_1,13,GCF_003317105.1
GCF_003317215.1_prophage_5,18,GCF_003317215.1
GCF_003317335.1_prophage_6,13,GCF_003317335.1
GCF_003317385.1_prophage_9,3,GCF_003317385.1
GCF_003317475.1_prophage_1,16,GCF_003317475.1
GCF_003317575.1_prophage_2,19,GCF_003317575.1
GCF_003317655.1_prophage_2,19,GCF_003317655.1
GCF_003317755.1_prophage_3,16,GCF_003317755.1
GCF_003317755.1_prophage_7,5,GCF_003317755.1
GCF_003317765.1_prophage_2,11,GCF_003317765.1
GCF_003317765.1_prophage_3,11,GCF_003317765.1
GCF_003317825.1_prophage_3,11,GCF_003317825.1
GCF_003317955.1_prophage_1,3,GCF_003317955.1
GCF_003317965.1_prophage_6,18,GCF_003317965.1
GCF_003318125.1_prophage_6,15,GCF_003318125.1
GCF_003318555.1_prophage_4,15,GCF_003318555.1
GCF_003318575.1_prophage_4,7,GCF_003318575.1
GCF_003318595.1_prophage_5,20,GCF_003318595.1
GCF_003318665.1_prophage_4,12,GCF_003318665.1
GCF_003318855.1_prophage_2,10,GCF_003318855.1
GCF_003318985.1_prophage_6,8,GCF_003318985.1
GCF_003319045.1_prophage_4,8,GCF_003319045.1
GCF_003319045.1_prophage_6,10,GCF_003319045.1
GCF_003321645.1_prophage_3,4,GCF_003321645.1
GCF_003321805.1_prophage_5,10,GCF_003321805.1
GCF_003321915.1_prophage_1,13,GCF_003321915.1
GCF_003322345.1_prophage_2,2,GCF_003322345.1
GCF_003322575.1_prophage_3,14,GCF_003322575.1
GCF_003322745.1_prophage_2,20,GCF_003322745.1
GCF_003322925.1_prophage_1,14,GCF_003322925.1
GCF_003323235.1_prophage_3,14,GCF_003323235.1
GCF_003327795.1_prophage_3,1,GCF_003327795.1
GCF_003327805.1_prophage_1,1,GCF_003327805.1
GCF_003328175.1_prophage_3,14,GCF_003328175.1
GCF_003333505.1_prophage_1,5,GCF_003333505.1
GCF_003333855.1_prophage_3,2,GCF_003333855.1
GCF_003334145.1_prophage_3,3,GCF_003334145.1
GCF_003334305.1_prophage_3,14,GCF_003334305.1
GCF_003334425.1_prophage_2,3,GCF_003334425.1
GCF_003334465.1_prophage_4,10,GCF_003334465.1
GCF_003334585.1_prophage_2,18,GCF_003334585.1
GCF_003337975.1_prophage_4,5,GCF_003337975.1
GCF_003338065.1_prophage_5,20,GCF_003338065.1
GCF_003338295.1_prophage_5,8,GCF_003338295.1
GCF_003338455.1_prophage_1,4,GCF_003338455.1
GCF_003338525.1_prophage_3,10,GCF_003338525.1
GCF_003338945.1_prophage_2,12,GCF_003338945.1
GCF_003339565.1_prophage_3,13,GCF_003339565.1
GCF_003340795.1_prophage_2,12,GCF_003340795.1
GCF_003342715.1_prophage_2,8,GCF_003342715.1
GCF_003351385.1_prophage_7,15,GCF_003351385.1
GCF_003357245.1_prophage_4,3,GCF_003357245.1
GCF_003357405.1_prophage_2,12,GCF_003357405.1
GCF_003357645.1_prophage_2,2,GCF_003357645.1
GCF_003357995.1_prophage_1,1,GCF_003357995.1
GCF_003358035.1_prophage_4,14,GCF_003358035.1
GCF_003358175.1_prophage_1,1,GCF_003358175.1
GCF_003358325.1_prophage_6,14,GCF_003358325.1
GCF_003358485.1_prophage_1,4,GCF_003358485.1
GCF_003358695.1_prophage_1,20,GCF_003358695.1
GCF_003359415.1_prophage_3,16,GCF_003359415.1
GCF_003359615.1_prophage_3,9,GCF_003359615.1
GCF_003360055.1_prophage_5,15,GCF_003360055.1
GCF_003360395.1_prophage_2,20,GCF_003360395.1
